x,n_terms,best_rank_median,best_rank_min,rep_terms
santa,24,91403.5,2903,secret santa gifts | dirty santa gifts | secret santa gifts for women
shoes,24,111008.5,6807,heel pads for shoes | odor eaters for shoes | waterproof spray for shoes
decoration,24,65950.0,4609,garlands for decoration | fall flowers artificial for decoration | hay bales for decoration
snow,24,114784.0,2259,sleds for snow | rock salt for snow | salt for snow
purse,24,115104.0,28111,small makeup bag for purse | pouches for purse | makeup bag for purse
smart tv,23,91804.0,3672,sound bar for smart tv | antenna for smart tv | samsung remote control for smart tv
inground pools,23,58318.0,2765,pool vacuum for inground pools | pool fountains for inground pools | pool robot vacuum for inground pools
carpet,23,103359.0,10390,chair mat for carpet | office chair mat for carpet | desk chair mat for carpet
hanging,23,109701.0,5567,hooks for hanging | wall hooks for hanging | s hooks for hanging
fabric,23,127017.0,13263,rotary cutter for fabric | snaps for fabric | sewing clips for fabric
breastfeeding,23,79327.0,3982,nursing bras for breastfeeding | nipple cream safe for breastfeeding | nipple cream for breastfeeding
home gym,23,55675.0,12634,gym flooring for home gym | weight benches for home gym | workout mats for home gym
bathtub,23,151163.0,12906,jacuzzi mat for bathtub | kinder filter for bathtub | splash guard for bathtub
cat,23,84817.0,7210,cat gifts | cat gifts for women | black cat gifts
a,23,145793.0,9240,chick fil a gift card | a gift from the sea by anne morrow lindbergh | send a gift card from amazon
wedding guest,23,100931.0,4002,dresses for wedding guest | cocktail dresses for wedding guest | dress for wedding guest
floor,22,93183.0,480,kitchen mats for floor | balloon stands for floor | baby mat for floor
ipad,22,88913.5,2436,stylus pen for ipad | keyboard for ipad | bluetooth keyboard for ipad
oven,22,85877.5,9229,casserole dishes for oven | pizza stone for oven | turkey pan for oven
couple,22,110870.5,8464,couple gifts | anniversary gift for couple | couple gift
baby girl,22,111192.0,26598,bibs for baby girl | gifts for baby girl | cabbage patch costume for baby girl
chickens,21,85921.0,15172,nesting boxes for chickens | first saturday lime for chickens | hemp bedding for chickens
pain relief,21,105057.0,32023,neck pillows for pain relief | knee massager for pain relief | vitality frankincense oil for pain relief
lover,21,113647.0,10421,book lover gifts for women | cat lover gifts for women | cat lover gifts
hardwood floors,21,126811.0,12755,rug gripper for hardwood floors | furniture sliders for hardwood floors | furniture pads for hardwood floors
retirement,21,100139.0,2593,retirement gift for woman | retirement gifts for men | retirement gifts for women
funny,21,102098.0,719,funny gifts | funny gifts for men | funny gifts for women
decorating,21,67324.0,16018,pumpkins for decorating | edible eyes for decorating | pinecones for decorating
walking,21,117748.0,11930,step counter for walking | weighted vest woman adjustable weights for walking | womens weighted vest for walking
visa,21,37369.0,803,visa gift card ️ | visa gift card | visa gift cards 100 dollars
newborn,21,78683.0,19736,baby towels for newborn | baby essentials for newborn | baby pillows for sleeping for newborn
short hair,21,94779.0,13397,curling iron for short hair | numoya go brush pro for short hair | mini curling iron for short hair
shelves,21,104001.0,19807,baskets for shelves | storage baskets for shelves | book ends for shelves
cabinet,21,67078.0,1882,spice organization for cabinet | spice rack organizer for cabinet | tupperware organizer for cabinet
women casual,20,68579.0,10730,jumpsuits for women casual | blouses for women casual | palazzo pants for women casual
fall,20,89627.0,24622,maternity clothes for fall | best selling tote bag for fall | shoes for fall
metal,20,134618.0,24161,rust remover for metal | self tapping screws for metal | black spray paint for metal
aggressive chewers,20,69552.5,731,dog toys for aggressive chewers | kong dog toys for aggressive chewers | dog chew toys for aggressive chewers
xbox,20,132972.0,725,xbox gift card | xbox gift card digital code | xbox gift card 10
bracelets,20,120912.0,4306,beads for bracelets | charms for bracelets | elastic string for bracelets
brother,20,83108.5,1122,rakhi for brother | gifts for brother | brother gifts
pets,20,116692.5,7567,dog tags personalized for pets | advent calendar for pets | spruce weed killer safe for pets
trucks,20,76096.5,19972,rock lights for trucks | seat covers for trucks | strobe lights for trucks
eyes,20,80725.5,16600,red contacts for eyes | lutein for eyes | colored contacts for eyes
college,20,142857.0,17561,backpack for college | tote bag for college | blue bags for college
crafting,19,86340.0,23498,feathers for crafting | pearls for crafting | heat gun for crafting
inside shower,19,54787.0,6239,shower chair for inside shower | shower mats for inside shower | shower hooks for inside shower
legs,19,130257.0,8,varicose veins treatment for legs | instant lift patch for legs | cellulite remover for legs
pet hair,19,131280.0,21455,pet vacuum for pet hair | robotic vacuum for pet hair | vacuums for pet hair
bulk,19,95521.0,4445,bulk gifts | bulk gifts for coworkers | bulk gifts for women
roblox,19,80919.0,55,roblox gift card | roblox gift card digital code | roblox gift card physical
digital,19,90365.0,7015,digital gift card | amazon digital gift card | digital gift cards amazon ecard
kitchen cabinets,19,104000.0,25997,slide out drawers for kitchen cabinets | small wreaths for kitchen cabinets | christmas knob covers for kitchen cabinets
toilet,19,122006.0,997,bidet attachment for toilet | sitz bath for toilet | pumice stone for toilet
bedrooms,19,126095.0,1891,alarm clocks for bedrooms | portable air conditioners for bedrooms | door locks for bedrooms
lunch box,19,137066.0,26665,ice pack for lunch box | sauce containers for lunch box | kids ice packs for lunch box
baby boy,19,130741.0,38493,bibs for baby boy | krishna dress for baby boy | gifts for baby boy
girlfriend,19,86681.0,3895,gifts for girlfriend | girlfriend gifts | christmas gifts for girlfriend
boss,18,88900.5,13393,boss gifts for women | gifts for boss | boss gifts
braces,18,113975.5,22831,floss for braces | platypus flossers for braces | wax for braces
dry eyes,18,118146.0,4895,eye drops for dry eyes | blink eye drops for dry eyes | retaine eye drops for dry eyes
pregnancy,18,82525.5,312,stretch mark cream for pregnancy | pregnancy gifts | maternity bras for pregnancy
large,18,91752.5,8618,large gift bag | large gift bags | large gift box
little girls,18,116908.0,23282,hair ties for little girls | gifts for little girls | tiara for little girls
unique,18,132898.5,4460,unique gifts for women | unique gifts for men | unique gifts
nurses,18,78972.5,16433,pen lights for nurses | gifts for nurses | deals for nurses
stairs,18,106847.5,4627,baby gate for stairs | gate for stairs | christmas garland for stairs
fishing,18,94199.0,6082,fishing gifts for men | fishing gifts | bobbers for fishing
suv,18,84403.5,1045,trunk organizer for suv | seat covers for suv | trunk grocery organizer for suv
android,18,142799.0,25181,selfie stick for android | stylus pen for android | wireless earbuds for android
flowers,18,132541.0,32347,small vases for flowers | vases for flowers | vase for flowers
neuropathy,18,84372.5,21,nerve savior for neuropathy | nerve renew for neuropathy | foot massager for neuropathy
landscaping,18,124747.5,8120,mulch glue for landscaping | edging for landscaping | rock glue for landscaping
grandpa,17,71235.0,2236,grandpa gifts | gifts for grandpa | fathers day gifts for grandpa
care,17,131663.0,2377,self care gifts for women | self care gifts | skin care gift set
photoshoot,17,124933.0,7345,maternity dress for photoshoot | white backdrop for photoshoot | backdrops for photoshoot
women clearance,17,99145.0,5836,purses for women clearance | sweaters for women clearance | sneakers for women clearance
sports,17,137351.0,38994,clear earrings for sports | sports gifts for boys 8-12 | cooling towels for sports
long hair,17,162792.0,22647,hot rollers for long hair | curling wand for long hair | curlers for long hair
women fall,17,85150.0,5321,2 piece sets for women fall | two piece sets for women fall | long skirts for women fall
fish tank,17,143624.0,13502,heater for fish tank | algae remover for fish tank | fish net for fish tank
sand,17,124218.0,2807,beach umbrellas for sand | beach wagon with big wheels for sand | beach cart with big wheels for sand
crocheting,17,112805.0,4461,yarn for crocheting | stitch markers for crocheting | safety eyes for crocheting
organizing,17,91118.0,7309,baskets for organizing | containers for organizing | storage containers for organizing
horses,17,139721.0,33834,fly masks for horses | fly boots for horses | toys for horses
hair removal,16,78613.5,7493,wax strips for hair removal | wax strip for hair removal | cyperus rotundus oil for hair removal
traveling,16,114121.5,19567,duffel bags for traveling | neck pillow for traveling | collapsible water bottles for traveling
playstation,16,94935.0,621,playstation gift card | playstation gift card digital code | playstation gift card 10
kids school,16,77181.5,24,valentines day cards for kids school | valentines day gifts for kids school | head phones for kids school
communion,16,77835.0,3670,first communion gifts for girls | first communion gifts for boys | 1st communion gifts for girls
mac,16,146608.5,40409,bluetooth mouse for mac | external hard drive for mac | mouse for mac
exercise,16,125017.0,17304,stretch bands for exercise | elastic bands for exercise | slant boards for exercise
golf,16,66434.5,1815,golf gifts for men | golf gifts | golf gift
drawing,16,124399.5,21219,sketchbook for drawing | sketch pads for drawing | sketch books for drawing
woodworking,16,107833.0,24225,clamps for woodworking | corner clamps for woodworking | dust collectors for woodworking
friends,16,81580.0,11974,gifts for friends | mothers day gifts for friends | diwali gifts for friends
mothers day,15,101300.0,26074,gifts for mothers day | flowers for mothers day | mom gifts for mothers day
thick hair,15,116164.0,9815,claw clips for thick hair | hair ties for thick hair | hair clips for thick hair
grilling,15,112504.0,14276,grilling gifts for men | skewers for grilling | grilling gifts
top,15,161907.0,24510,top gifts for women 2025 | 2024 top gifts for men | top gifts for men 2025
airplane,15,107732.0,18495,car seat travel bag for airplane | travel stroller for airplane | womens travel outfit for airplane
hot tub,15,96575.0,23823,frog replacement cartridges for hot tub | frog chlorine replacement for hot tub | chlorine for hot tub
physical,15,121918.0,3213,physical gift cards | amazon physical gift card | physical gift card
floor cleaning,15,103129.0,4841,steam mops for floor cleaning | mops for floor cleaning | mop soap for floor cleaning
display,15,125058.0,20435,plate stands for display | easels for display | picture stands for display
centerpieces,15,92627.0,24597,vases for centerpieces | floating candles for centerpieces | mason jars for centerpieces
kids bulk,15,107817.0,34858,end of school year gifts for kids bulk | valentines day gifts for kids bulk | lcd writing tablet for kids bulk
weed,15,88784.0,30995,smoking accessories for weed | rolling tray for weed | weed gifts
friend,15,66392.0,2697,best friend gifts for women | best friend gifts | friend gifts for women
cheese,15,99928.0,9305,meat and cheese gift baskets | cheese gift baskets | sausage and cheese gift basket
cocktails,15,88732.0,7210,edible glitter for cocktails | muddler for cocktails | bitters for cocktails
braids,15,93550.0,20213,purple hair extensions for braids | hair accessories for braids | bonnet for braids
teen,15,132802.0,8059,teen gifts | teen gifts for girls | legos for teen
hot food,14,123963.5,1607,thermos for hot food | kids thermos for hot food | food thermos for hot food
reading,14,96620.0,14602,book marks for reading | magnifying glass for reading | book stand for reading
candle making,14,57395.0,7711,wax melter for candle making | soy wax for candle making | candle wicks for candle making
ceiling,14,110403.0,21040,glow in the dark stars for ceiling | cloud lights for ceiling | stars for ceiling
grill,14,98743.5,26942,bbq daddy scrub daddy for grill | pizza stone for grill | fire starters for grill
church,14,106858.5,43867,women dresses for church | ladies dresses for church | teen dresses for church
keurig,14,75599.0,4372,reusable k cups for keurig | coffee k cups for keurig | tea pods for keurig
team,14,127613.0,24618,team gifts for employees | soccer snack bags for team | softball gifts for team
side sleepers,14,81714.5,7276,nuzzle pillows for side sleepers | knee pillow for side sleepers | pillow for side sleepers
xmas,14,121606.0,16918,xmas gift bags | xmas gifts for women | xmas gifts
women lightweight,14,113549.5,10903,summer cardigans for women lightweight | summer sweaters for women lightweight | scarves for women lightweight
women waterproof,14,88633.0,12893,snow boots for women waterproof | anklets for women waterproof | winter boots for women waterproof
freezer,14,113970.5,4861,ice trays for freezer | ice cube trays for freezer | ice scoop for freezer
