term,spike_month,spike_rank,median_rank,improve_ratio,is_category
scrolling ring,2025-12,24978,92807.0,0.731,True
fantasy football ring,2025-08,25107,61835.0,0.594,True
coach bag charm,2025-12,25302,79736.0,0.683,True
sunchill float ring,2025-06,25360,63902.0,0.603,True
boho jewelry,2025-07,25436,91083.0,0.721,True
pandora charm,2025-12,25448,80727.0,0.685,True
mom necklace,2025-12,25520,112627.5,0.773,True
mirror jewelry cabinet standing,2025-03,25729,78885.0,0.674,True
travel jewelry box,2025-12,25923,56217.0,0.539,True
necklace for girls,2025-12,26104,90071.5,0.71,True
heart necklaces for women,2025-01,26179,68472.5,0.618,True
clear earrings,2025-08,26219,62229.0,0.579,True
bracelets for girls,2025-12,26231,75088.0,0.651,True
cross necklace for boys,2025-04,26248,60116.0,0.563,True
alex and ani bracelets for women,2025-12,26334,52989.5,0.503,True
charm city kings (2021),2025-01,26382,58647.0,0.55,True
birthstone necklace,2025-12,26448,103357.0,0.744,True
gold belt chain,2025-10,26543,68747.0,0.614,True
mirror jewelry cabinet standing,2025-02,26579,78885.0,0.663,True
pandora charms clearance,2025-12,26581,96595.0,0.725,True
girls earrings,2025-12,26642,80480.0,0.669,True
bow necklace,2025-12,26714,66957.5,0.601,True
cross necklace for girls,2025-12,26771,74719.0,0.642,True
swarovski necklace,2025-12,26853,58318.0,0.54,True
kendra scott cross necklace,2025-11,26899,111483.0,0.759,True
choker necklace,2025-09,26900,58813.0,0.543,True
custom necklace,2025-12,26903,64279.0,0.581,True
birthstone bracelets for women,2025-12,27178,106637.5,0.745,True
kids jewelry box,2025-11,27209,90145.5,0.698,True
arm cuff gold,2025-10,27215,83912.0,0.676,True
statement earrings,2025-09,27266,62184.5,0.562,True
sunchill float ring,2025-07,27520,63902.0,0.569,True
silver anklets for women,2025-05,27580,58302.0,0.527,True
david yurman bracelet,2025-12,28033,56883.5,0.507,True
necklace gift box,2025-12,28170,139773.0,0.798,True
beaded necklaces for women,2025-05,28198,84534.0,0.666,True
mom necklace,2025-05,28343,112627.5,0.748,True
rolling pin with thickness rings,2025-11,28667,67833.5,0.577,True
ours ring gen 4,2025-11,28735,62838.5,0.543,True
rose in chains julie soto,2025-07,28862,116420.0,0.752,True
sterling silver jewelry,2025-09,28981,83876.5,0.654,True
wedding ring box,2025-07,28996,59546.5,0.513,True
kids jewelry,2025-11,29351,103733.5,0.717,True
women's earrings,2025-11,29373,94302.5,0.689,True
rinfit silicone rings for women,2025-02,29471,61379.5,0.52,True
statement necklace,2025-09,29783,62384.0,0.523,True
girls jewelry,2025-11,30395,105008.5,0.711,True
chain belts for women,2025-10,30489,99636.0,0.694,True
rain chains for outside,2025-05,30519,90092.0,0.661,True
index cards with ring,2025-08,30553,106997.0,0.714,True
breast cancer bracelets,2025-10,30576,164984.0,0.815,True
teacher earrings,2025-05,30725,70098.5,0.562,True
pants chain,2025-08,30736,66026.5,0.534,True
wine glass charms,2025-11,30940,75483.5,0.59,True
ankle resistance bands with cuffs,2025-03,31493,81444.0,0.613,True
glow necklaces,2025-10,31636,107938.0,0.707,True
necklace box,2025-12,31655,86094.5,0.632,True
silver cross necklace,2025-09,31784,95082.5,0.666,True
earrings for girls 8-12,2025-12,31840,151683.5,0.79,True
jewelry for girls,2025-12,31874,114620.5,0.722,True
vintage jewelry box,2025-12,31902,106521.5,0.701,True
jewelry making kit for girls 8-12,2025-11,32247,137562.0,0.766,True
kate spade earrings,2025-12,32255,82864.0,0.611,True
nike hoops elite backpack,2025-08,32522,139695.0,0.767,True
pandora ring,2025-12,32563,76113.5,0.572,True
sterling silver jewelry,2025-11,32590,83876.5,0.611,True
women's earrings,2025-10,32641,94302.5,0.654,True
jewelry for men,2025-12,32910,69781.0,0.528,True
backpack charms,2025-07,33223,133493.0,0.751,True
girls bracelets,2025-12,33515,112203.0,0.701,True
kendra scott ring,2025-12,33519,68554.5,0.511,True
teacher earrings,2025-07,33626,70098.5,0.52,True
hula hoops for adults weight loss,2025-02,33957,69900.5,0.514,True
jewelry gift boxes,2025-12,34066,126415.0,0.731,True
gold belt chain,2025-09,34195,68747.0,0.503,True
aquamarine necklace,2025-02,34221,150978.5,0.773,True
yappy bracelets bible verse,2025-04,34410,86288.0,0.601,True
ring conn gen 2,2025-11,34429,87152.5,0.605,True
yappy bracelets bible verse,2025-01,34545,86288.0,0.6,True
hula hoops for adults weight loss,2025-01,34578,69900.5,0.505,True
jewelry cabinet,2025-12,34596,80874.5,0.572,True
glow bracelets,2025-10,34657,112750.0,0.693,True
mosquito bracelets,2025-06,34823,73500.0,0.526,True
bag charm kit,2025-12,34957,135708.5,0.742,True
women's earrings,2025-09,35207,94302.5,0.627,True
elden ring merch,2025-12,35357,131527.0,0.731,True
bow earrings for women,2025-01,35872,85701.0,0.581,True
