term,best_rank,months_present,trend_ratio,first_month,last_month,is_category,reasons
earring backs for droopy ears,12920.0,12,0.5710163686864601,2025-01,2025-12,True,品类季节spike
urn for ashes adult male,12945.0,12,2.917166173178306,2025-01,2025-12,False,裸场景词×优质词族
firefighter hat,12949.0,2,,2025-09,2025-10,False,裸场景词×优质词族
permanent bracelet kit,13006.0,12,6.512918754298065,2025-01,2025-12,True,品类季节spike
light up christmas necklace,13128.0,2,,2025-11,2025-12,True,品类新入榜
precision rings ps5,13386.0,8,11.902162058125361,2025-03,2025-11,True,品类季节spike
southern charm,13458.0,8,2.9400532164658006,2025-01,2025-12,True,品类季节spike
gold waist chain,13475.0,12,1.322218778432098,2025-01,2025-12,True,品类季节spike
mens cross necklaces,13605.0,12,0.6875350016211277,2025-01,2025-12,True,品类季节spike
snow chains for car tires,13720.0,6,1.0558068459657701,2025-01,2025-12,True,品类季节spike
shoe charms for sneakers,13956.0,12,2.0382457084877728,2025-01,2025-12,True,品类季节spike
kendra scott jewelry,13973.0,11,0.10041763239602922,2025-02,2025-12,True,品类季节spike
breast cancer awareness decorations,14106.0,2,,2025-09,2025-10,False,裸场景词×优质词族
womens earrings,14202.0,12,0.747923427312513,2025-01,2025-12,True,品类季节spike
promise ring,14243.0,12,1.1781081561333886,2025-01,2025-12,True,Phase5命中×品类
girls jewelry box,14308.0,12,0.23426225603519538,2025-01,2025-12,True,品类季节spike
womens jewelry,14321.0,12,0.637817773327798,2025-01,2025-12,True,品类季节spike
long distance touch bracelets,14341.0,12,1.8204185331283012,2025-01,2025-12,True,Phase5命中×品类
pandora charms for women,14342.0,12,1.4358779912369397,2025-01,2025-12,True,品类季节spike
mini travel jewelry bag,14471.0,6,0.3973733298629186,2025-07,2025-12,True,品类季节spike；品类新入榜
pavoi rings,14479.0,12,2.0528645346300105,2025-01,2025-12,True,品类季节spike
fahlo animal tracking bracelet,14528.0,12,0.3631704698916167,2025-01,2025-12,True,品类季节spike
best selling purse charms,14584.0,6,2.3956673470731547,2025-06,2025-11,True,品类季节spike
jewelry sets for women,14599.0,12,0.3793491842804597,2025-01,2025-12,True,品类季节spike
grinch earrings,14635.0,2,,2025-11,2025-12,True,品类新入榜
nurse gifts for women,14643.0,12,0.6651502504173623,2025-01,2025-12,False,Phase5命中×趋势向好
locket necklace,14671.0,12,0.2231573504911817,2025-01,2025-12,True,品类季节spike
saint patricks day accessories,14823.0,2,,2025-02,2025-03,False,裸场景词×优质词族
charm bracelets for women,14833.0,12,0.6072555558042209,2025-01,2025-12,True,品类季节spike
police officer costume for girls,14975.0,2,,2025-09,2025-10,False,裸场景词×优质词族
copper bracelet,15207.0,12,2.4152939471523114,2025-01,2025-12,True,品类季节spike
clip on earrings for girls,15231.0,12,0.4861957309019641,2025-01,2025-12,True,品类季节spike
bug repellent bracelets,15357.0,9,0.7230862973520056,2025-02,2025-10,True,品类季节spike
costume jewelry,15374.0,5,,2025-08,2025-12,True,品类新入榜
women's necklaces,15390.0,10,0.1646331434381495,2025-01,2025-12,True,品类季节spike
necklace for women,15422.0,12,0.613612543495577,2025-01,2025-12,True,品类季节spike
prayer mat,15515.0,12,3.128095975232198,2025-01,2025-12,False,裸场景词×优质词族
shoe charms,15645.0,12,1.3144832181227617,2025-01,2025-12,True,品类季节spike
magnetic necklace clasps and closures,15722.0,12,0.3569100297112528,2025-01,2025-12,True,品类季节spike
mental health awareness shirt,15841.0,2,,2025-04,2025-05,False,裸场景词×优质词族
heart necklaces for women,15857.0,12,3.944841284999427,2025-01,2025-12,True,品类季节spike
gifts for best friend woman,15897.0,12,0.5743358167836523,2025-01,2025-12,False,Phase5命中×趋势向好
divorced sistas tyler perry,15923.0,3,,2025-06,2025-08,False,裸场景词×优质词族
beaded necklace,16055.0,12,1.0910031190911,2025-01,2025-12,True,品类季节spike
friendship bracelet string,16076.0,12,1.2290930922446672,2025-01,2025-12,True,Phase5命中×品类；品类季节spike
crochet ring,16112.0,12,2.0619447427511473,2025-01,2025-12,True,品类季节spike
christmas jewelry for women,16168.0,3,,2025-10,2025-12,True,品类新入榜
faith over fear hoodie,16186.0,12,0.859424683871922,2025-01,2025-12,False,裸场景词×优质词族
ring conn,16200.0,12,0.10325099164389982,2025-01,2025-12,True,品类季节spike
football earrings,16216.0,7,0.5565568676196395,2025-01,2025-11,True,品类季节spike
christmas jewelry,16232.0,3,,2025-10,2025-12,True,品类新入榜
charm bracelet making kit,16250.0,12,1.8224676877526618,2025-01,2025-12,True,品类季节spike
urn for ashes for women,16332.0,12,6.12808246483285,2025-01,2025-12,False,裸场景词×优质词族
pandora necklace,16532.0,12,0.8173002206819383,2025-01,2025-12,True,品类季节spike
rolling pin with thickness rings,16584.0,12,0.5809857727696486,2025-01,2025-12,True,品类季节spike
prayer journal,16597.0,12,1.1180188861052225,2025-01,2025-12,False,裸场景词×优质词族
cross necklace for boys,16639.0,12,0.4499971661754704,2025-01,2025-12,True,品类季节spike
tyler perry's divorce in the black,16681.0,12,4.908939692855209,2025-01,2025-12,False,裸场景词×优质词族
